"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Static Pressure (Pa)"
1.0E-4,203.5677366994205
1.0E-4,203.5677366994205
1.0E-4,202.85303834121441
1.0E-4,202.313245013298
1.0E-4,201.81070270491182
1.0E-4,201.18995421932777
1.0E-4,200.52700483301305
1.0E-4,199.9148497178685
1.0E-4,199.30156590377737
1.0E-4,198.7921137317462
1.0E-4,198.3543660872092
1.0E-4,197.93271203477343
1.0E-4,197.50779135567427
1.0E-4,196.9187335576571
1.0E-4,196.44420291911229
1.0E-4,195.55635513845482
1.0E-4,195.17068456448033
1.0E-4,194.7557705497602
1.0E-4,194.2308164551796
1.0E-4,193.70753570948727
1.0E-4,192.76052582231932
1.0E-4,192.76052582231932
1.0E-4,191.98209222237347
1.0E-4,191.63087450653256
1.0E-4,190.8028535546182
1.0E-4,190.12487196632264
1.0E-4,190.12487196632264
1.0E-4,189.4743693046621
1.0E-4,188.6431536158343
1.0E-4,188.25454065742088
1.0E-4,187.59447677244316
1.0E-4,187.0942725414643
1.0E-4,186.4786788148631
1.0E-4,185.90849900987814
1.0E-4,185.47437727323268
1.0E-4,185.0735414280789
1.0E-4,184.55951467651175
1.0E-4,184.09021997032687
1.0E-4,183.54855433819466
1.0E-4,183.0735076230776
1.0E-4,182.4358349124377
1.0E-4,181.92967042484088
1.0E-4,181.63730009831488
1.0E-4,180.66513005862362
1.0E-4,180.24206883108127
1.0E-4,179.86970254051266
1.0E-4,179.60138514477876
1.0E-4,178.46226887792
1.0E-4,178.46226887792
1.0E-4,177.97480976278894
1.0E-4,177.05068902135827
1.0E-4,176.6878000656434
1.0E-4,176.26825685266522
1.0E-4,175.80203530954896
1.0E-4,175.31949622785578
1.0E-4,174.78791050770087
1.0E-4,174.29766769208072
1.0E-4,173.50842795698554
1.0E-4,173.06106133120193
1.0E-4,172.65368662543187
1.0E-4,172.20154889747937
1.0E-4,171.65950724930008
1.0E-4,171.2114769142754
1.0E-4,170.47720698887224
1.2E-4,241.56751634686952
1.2E-4,241.0310925320373
1.2E-4,240.6333257293445
1.2E-4,240.1551002256747
1.2E-4,239.62798215361545
1.2E-4,238.77879835281055
1.2E-4,238.14391262611025
1.2E-4,237.5209964649839
1.2E-4,236.86760170437628
1.2E-4,236.40863429466845
1.2E-4,235.8653017078177
1.2E-4,235.24379737301115
1.2E-4,234.76833016896126
1.2E-4,234.17556110133592
1.2E-4,233.3903858587728
1.2E-4,232.83780458924593
1.2E-4,232.4011508927215
1.2E-4,231.84397094670567
1.2E-4,231.33435947209364
1.2E-4,230.6597964349785
1.2E-4,230.13596277835313
1.2E-4,229.8657329028356
1.2E-4,228.89395065797726
1.2E-4,228.4804695211933
1.2E-4,227.91221931070322
1.2E-4,227.37000325508416
1.2E-4,226.78328422660707
1.2E-4,226.2517103087739
1.2E-4,225.5089660541853
1.2E-4,225.03638701656018
1.2E-4,224.44205248064827
1.2E-4,223.9001825734158
1.2E-4,223.46673835301772
1.2E-4,223.0006802001153
1.2E-4,222.33882043714402
1.2E-4,221.74873204017058
1.2E-4,220.9496543032874
1.2E-4,220.57407805367257
1.2E-4,219.96053409701562
1.2E-4,219.4490393478336
1.2E-4,218.88499829915236
1.2E-4,218.40489126184548
1.2E-4,217.96162405767245
1.2E-4,216.99170710239196
1.2E-4,216.43480792446644
1.2E-4,216.24004978191806
1.2E-4,215.25344710150966
1.2E-4,214.9555365392589
1.2E-4,214.09373470634455
1.2E-4,213.57971158839064
1.2E-4,213.11866857786663
1.2E-4,212.68680968822446
1.2E-4,212.1634759180597
1.2E-4,211.66913029842544
1.2E-4,210.8335984791047
1.2E-4,210.28074881021166
1.2E-4,209.79855712578865
1.2E-4,209.23109738365747
1.2E-4,208.6896982397884
1.2E-4,207.97416146815522
1.2E-4,207.56481614528457
1.2E-4,206.990515773301
1.2E-4,206.41959179594414
1.2E-4,205.90970906047733
1.2E-4,205.41386038041674
1.2E-4,204.8317725264933
1.2E-4,204.1760378354811
1.2E-4,204.00364016758977
1.2E-4,203.5677366994205
1.2E-4,202.57557372917654
1.2E-4,202.313245013298
1.2E-4,201.81070270491182
1.2E-4,201.18995421932777
1.2E-4,200.52700483301305
1.2E-4,199.9148497178685
1.2E-4,199.6070846003422
1.2E-4,198.7921137317462
1.2E-4,198.37305153193302
1.2E-4,197.93271203477343
1.2E-4,197.46968769103114
1.2E-4,196.9187335576571
1.2E-4,196.44420291911229
1.2E-4,195.55635513845482
1.2E-4,195.06523259350797
1.2E-4,194.7557705497602
1.2E-4,194.2308164551796
1.2E-4,193.70753570948727
1.2E-4,192.76052582231932
1.2E-4,192.2869721170573
1.2E-4,191.98209222237347
1.2E-4,191.24036138794327
1.2E-4,190.8028535546182
1.2E-4,190.12487196632264
1.2E-4,190.12487196632264
1.2E-4,189.4743693046621
1.2E-4,188.6431536158343
1.2E-4,188.25454065742088
1.2E-4,187.9045492031728
1.2E-4,187.38153047749074
1.2E-4,186.4786788148631
1.2E-4,185.90849900987814
1.2E-4,185.47437727323268
1.2E-4,185.0735414280789
1.2E-4,184.55951467651175
1.2E-4,184.09021997032687
1.2E-4,183.54855433819466
1.2E-4,183.0735076230776
1.2E-4,182.4358349124377
1.2E-4,181.92967042484088
1.2E-4,181.37093554009334
1.2E-4,180.88469132283353
1.2E-4,180.46213632819126
1.2E-4,180.08394187436352
1.2E-4,179.60138514477876
1.2E-4,178.79099232939188
1.2E-4,178.46226887792
1.2E-4,177.76617988324142
1.2E-4,177.36729224861483
1.2E-4,176.6878000656434
1.2E-4,176.26825685266522
1.2E-4,175.80203530954896
1.2E-4,175.08428972860565
1.2E-4,174.5238426074502
1.2E-4,173.99077856064832
1.2E-4,173.50842795698554
1.2E-4,173.18707554534194
1.2E-4,172.65368662543187
1.2E-4,172.20154889747937
1.2E-4,171.65950724930008
1.2E-4,171.2114769142754
1.2E-4,170.47720698887224
1.4000000000000001E-4,241.0310925320373
1.4000000000000001E-4,240.6333257293445
1.4000000000000001E-4,240.1551002256747
1.4000000000000001E-4,239.62798215361545
1.4000000000000001E-4,238.77879835281055
1.4000000000000001E-4,238.14391262611025
1.4000000000000001E-4,237.86545194135397
1.4000000000000001E-4,236.86760170437628
1.4000000000000001E-4,236.40863429466845
1.4000000000000001E-4,235.8653017078177
1.4000000000000001E-4,235.24379737301115
1.4000000000000001E-4,234.76833016896126
1.4000000000000001E-4,234.17556110133592
1.4000000000000001E-4,233.3903858587728
1.4000000000000001E-4,232.83780458924593
1.4000000000000001E-4,232.4011508927215
1.4000000000000001E-4,231.84397094670567
1.4000000000000001E-4,231.27451493998524
1.4000000000000001E-4,230.7699521940085
