"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Temperature (K)"
1.0E-4,1386.8980712890625
1.0E-4,1386.187255859375
1.0E-4,1385.3367919921875
1.0E-4,1384.94873046875
1.0E-4,1383.1649169921875
1.0E-4,1382.8389892578125
1.0E-4,1382.5350341796875
1.0E-4,1382.28466796875
1.0E-4,1381.0281982421875
1.0E-4,1380.3004150390625
1.0E-4,1380.3004150390625
1.0E-4,1379.947021484375
1.0E-4,1378.43017578125
1.0E-4,1377.3353271484375
1.0E-4,1376.84423828125
1.0E-4,1375.33056640625
1.0E-4,1376.230224609375
1.0E-4,1375.6378173828125
1.0E-4,1374.9583740234375
1.0E-4,1372.1470947265625
1.0E-4,1373.8123779296875
1.0E-4,1371.4451904296875
1.0E-4,1371.4295654296875
1.0E-4,1370.897705078125
1.0E-4,1368.478515625
1.0E-4,1369.260986328125
1.0E-4,1368.2041015625
1.0E-4,1368.1734619140625
1.0E-4,1367.246826171875
1.0E-4,1366.4205322265625
1.0E-4,1366.4205322265625
1.0E-4,1365.9173583984375
1.0E-4,1364.9747314453125
1.0E-4,1364.015869140625
1.0E-4,1362.8165283203125
1.0E-4,1362.863525390625
1.0E-4,1361.8712158203125
1.0E-4,1360.8486328125
1.0E-4,1358.9503173828125
1.0E-4,1360.0841064453125
1.0E-4,1358.524658203125
1.0E-4,1358.79541015625
1.0E-4,1357.205078125
1.0E-4,1356.63916015625
1.0E-4,1354.7991943359375
1.0E-4,1355.782958984375
1.0E-4,1353.8345947265625
1.0E-4,1353.5303955078125
1.0E-4,1352.3719482421875
1.0E-4,1351.5810546875
1.0E-4,1351.5810546875
1.0E-4,1350.078125
1.0E-4,1350.2598876953125
1.0E-4,1349.41455078125
1.0E-4,1348.0457763671875
1.0E-4,1348.0457763671875
1.0E-4,1347.4927978515625
1.0E-4,1344.51708984375
1.0E-4,1345.0736083984375
1.0E-4,1345.2655029296875
1.0E-4,1344.684326171875
1.0E-4,1343.38134765625
1.0E-4,1342.64404296875
1.0E-4,1342.4122314453125
1.0E-4,1341.37451171875
1.0E-4,1340.5009765625
1.0E-4,1339.6505126953125
1.0E-4,1339.2012939453125
1.0E-4,1339.1153564453125
1.0E-4,1335.876220703125
1.0E-4,1335.5938720703125
1.0E-4,1337.43603515625
1.0E-4,1336.07421875
1.0E-4,1335.4783935546875
1.0E-4,1334.8851318359375
1.0E-4,1332.8143310546875
1.0E-4,1332.672607421875
1.0E-4,1332.672607421875
1.0E-4,1332.154296875
1.0E-4,1330.850830078125
1.0E-4,1329.7366943359375
1.0E-4,1329.845703125
1.0E-4,1329.2584228515625
1.0E-4,1328.5452880859375
1.0E-4,1327.8568115234375
1.0E-4,1327.2152099609375
1.0E-4,1325.68115234375
1.0E-4,1325.703125
1.0E-4,1324.4189453125
1.0E-4,1323.9613037109375
1.0E-4,1323.0799560546875
1.0E-4,1321.720947265625
1.0E-4,1321.21044921875
1.2E-4,1413.0882568359375
1.2E-4,1412.41943359375
1.2E-4,1411.7076416015625
1.2E-4,1411.5081787109375
1.2E-4,1410.5428466796875
1.2E-4,1408.4588623046875
1.2E-4,1408.9879150390625
1.2E-4,1408.21142578125
1.2E-4,1405.44384765625
1.2E-4,1406.5780029296875
1.2E-4,1404.3768310546875
1.2E-4,1403.83935546875
1.2E-4,1404.8955078125
1.2E-4,1404.3612060546875
1.2E-4,1401.9423828125
1.2E-4,1400.83837890625
1.2E-4,1399.26904296875
1.2E-4,1399.096923828125
1.2E-4,1401.397216796875
1.2E-4,1400.221923828125
1.2E-4,1397.053466796875
1.2E-4,1399.198974609375
1.2E-4,1398.3564453125
1.2E-4,1395.9354248046875
1.2E-4,1393.687255859375
1.2E-4,1394.0650634765625
1.2E-4,1393.779541015625
1.2E-4,1392.876953125
1.2E-4,1394.1275634765625
1.2E-4,1392.8582763671875
1.2E-4,1392.364501953125
1.2E-4,1391.5819091796875
1.2E-4,1391.5045166015625
1.2E-4,1390.482177734375
1.2E-4,1389.5208740234375
1.2E-4,1389.335205078125
1.2E-4,1386.08935546875
1.2E-4,1387.584716796875
1.2E-4,1386.8980712890625
1.2E-4,1386.187255859375
1.2E-4,1385.3367919921875
1.2E-4,1384.94873046875
1.2E-4,1383.1649169921875
1.2E-4,1382.8389892578125
1.2E-4,1382.5350341796875
1.2E-4,1379.2962646484375
1.2E-4,1381.0281982421875
1.2E-4,1378.4302978515625
1.2E-4,1377.56494140625
1.2E-4,1376.598388671875
1.2E-4,1378.43017578125
1.2E-4,1377.3353271484375
1.2E-4,1376.84423828125
1.2E-4,1375.33056640625
1.2E-4,1373.8162841796875
1.2E-4,1371.661376953125
1.2E-4,1372.3316650390625
1.2E-4,1372.1470947265625
1.2E-4,1370.0382080078125
1.2E-4,1371.4451904296875
1.2E-4,1369.0350341796875
1.2E-4,1368.1417236328125
1.2E-4,1368.478515625
1.2E-4,1369.260986328125
1.2E-4,1368.2041015625
1.2E-4,1368.1734619140625
1.2E-4,1367.246826171875
1.2E-4,1364.222412109375
1.2E-4,1366.4205322265625
1.2E-4,1363.11767578125
1.2E-4,1364.9747314453125
1.2E-4,1364.015869140625
1.2E-4,1362.8165283203125
1.2E-4,1362.863525390625
1.2E-4,1361.8712158203125
1.2E-4,1358.63427734375
1.2E-4,1358.9503173828125
1.2E-4,1357.4615478515625
1.2E-4,1358.524658203125
1.2E-4,1355.6298828125
1.2E-4,1357.205078125
1.2E-4,1356.63916015625
1.2E-4,1354.7991943359375
1.2E-4,1352.6375732421875
1.2E-4,1353.8345947265625
1.2E-4,1353.5303955078125
1.2E-4,1352.3719482421875
1.2E-4,1351.5810546875
1.2E-4,1348.7254638671875
1.2E-4,1350.078125
1.2E-4,1348.179443359375
1.2E-4,1349.41455078125
1.2E-4,1348.0457763671875
1.2E-4,1348.0457763671875
1.2E-4,1347.4927978515625
1.2E-4,1344.51708984375
1.2E-4,1345.0736083984375
1.2E-4,1343.5640869140625
1.2E-4,1342.308837890625
1.2E-4,1343.38134765625
1.2E-4,1342.64404296875
1.2E-4,1342.4122314453125
1.2E-4,1341.37451171875
1.2E-4,1340.5009765625
1.2E-4,1339.6505126953125
1.2E-4,1339.2012939453125
1.2E-4,1339.1153564453125
1.2E-4,1335.876220703125
1.2E-4,1335.5938720703125
1.2E-4,1334.4130859375
1.2E-4,1332.4525146484375
1.2E-4,1333.401611328125
1.2E-4,1332.4776611328125
1.2E-4,1332.8143310546875
1.2E-4,1330.1416015625
1.2E-4,1332.672607421875
1.2E-4,1328.8807373046875
1.2E-4,1328.8983154296875
1.2E-4,1329.7366943359375
1.2E-4,1329.845703125
1.2E-4,1329.2584228515625
1.2E-4,1325.56298828125
1.2E-4,1324.0689697265625
1.2E-4,1324.844970703125
1.2E-4,1325.68115234375
1.2E-4,1323.259033203125
1.2E-4,1324.4189453125
1.2E-4,1323.9613037109375
1.2E-4,1323.0799560546875
1.2E-4,1321.720947265625
1.2E-4,1321.21044921875
1.4000000000000001E-4,1412.41943359375
1.4000000000000001E-4,1411.7076416015625
1.4000000000000001E-4,1411.5081787109375
